,Alpha,Delta,Beta,Gamma,Label,channel
0,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
1,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
2,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
3,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
4,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
5,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
6,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
7,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
8,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
9,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
10,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
11,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
12,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
13,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
14,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
15,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
16,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
17,(2.273839496973852e-09+0j),(1.860341125090901e-09+0j),(8.512306535117899e-10+0j),(5.2561792361011234e-11+0j),ADHD,D
18,(2.176594571797716e-09+0j),(7.1944303860662514e-09+0j),(4.043242467198278e-10+0j),(3.319481100827071e-11+0j),ADHD,E
19,(3.3700916428833755e-16+0j),(4.616997088669793e-16+0j),(5.970115177651723e-17+0j),(6.12592407409264e-18+0j),ADHD,F
20,(2.6845174030462454e-09+0j),(3.626565582718549e-09+0j),(2.83866985730327e-10+0j),(1.8458681850111825e-11+0j),ADHD,G
21,(17.126143070082815+0j),(1434.4209980929134+0j),(4.7290877202834505+0j),(1.3191461850667643+0j),ADHD,A
22,(1.847496228582672e-09+0j),(3.229571758383044e-09+0j),(4.0883053030412516e-10+0j),(2.255547147970758e-11+0j),ADHD,B
23,(2.2741948545984437e-09+0j),(3.0108280390504967e-09+0j),(5.437074064983138e-10+0j),(3.9369085531624925e-11+0j),ADHD,C
